665_3,"Currently if you ever mistakenly selected a ""ru"" language than you will be in a very bad situation forever: - You can live with the wrong Tile displayed for Russian language in the Store (the english one) or - You can publish an update with the removed ""ru"" language, but this update will not ""fully replace"" the old version and you will in truble: 1.)",0
672_3,Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.,1
683_4,"Maybe I'm missing something, but this API seems to be broken.",0
683_8,There appears to be no way to tell it to collect data from your own custom event sources.,0
687_9,"Include an API to add, remove, deactivate tracking protection lists (TPL), to further drive down data usage, enable selective protection against rogue sites tracking, and just having a sense of control.",1
690_2,"Fast resume has pretty much killed my app and I can't delete the WP8.1 XAP from the store, and as such it looks like my app will not be able to go back on the WP Store or if it does it will have to be under a new name and abandon previous customers.",0
692_3,Allowing to prefetch an ad allow the developer to optimise his ad strategy.,0
730_3,Let normal http:// URIs to be able to send notifications to the app using the window.external.notify and not only the https:// URIs.,0
731_2,Most probably you will have to collaborate with Google but this is the challenge!,0
747_8,The reason I got into this is because I figured If any company could do it Microsoft could and then I find out that I can't.,0
752_2,"A thing that would be increbible is that your phone make a sound when you whistle or Clap hands a certain pattern ( wich could be preseted by the phone owner ) so when you can't find your phone and you dont have a buddy around to text you, you can find it!",1
755_1,-Should be able to put transparent (saved in PGN) lockscreens like WP7.5 Notification Center: -Should be able to control the screen___ more,1
756_1,"Windows 8.1 SDK brought a lot of built in transitions, making easier to develop a native-like app.",0
766_2,I would like to have one to be able to do HQ software rendering using Direct2D.,1
768_2,"A app downloaded and to appear in report ""typically takes 3-5 days or have a delay of at least 24 hrs"" as per the support.",0
770_1,"Albeit, it takes 24 hrs; itself is very slow but sometimes it takes 3-5 days.",0
789_4,"This capability would not only enhance the submission experience, but it would also allow for Store submissions to be added and tracked in___ more",0
791_4,"For instance, i click a hyperlinked phone number and i am given the option to call with the phone, or skype.",0
791_5,i would like to be able to tell the system to always open with skype.,1
791_10,Please consider adding an option to erase a file by overwriting the bits with garbage and also the catalog entry/file name.,1
793_11,"When you create a webview you simply cannot see the DOM or any normal information to see whats going on, what goes wrong and why it goes wrong.",0
793_16,Having the means to inspect your app or site needs to be improved greatly.,1
795_1,"With frameworks like Angular, Node, jQuery, etc becoming more popular, we really need means to debug our apps to provide the best web experience.",0
796_6,"I understand why this might not have been a high priority, but as the platform grows it seems absolutely necessary.",0
801_3,"If you simply say an app failed with the policy number 2.11 or so, what can a developer benefit out of it, rather he will be more___ more",0
814_8,There are some bugs in notification center.If there are so many notifications in notification center then it lags when i scroll it down.. i don't know that others are facing this problem or not but i think its a major issue...,0
814_11,"What else could be important is that I've set additional security code (so I've got two codes, first for SIM card and second my own internal code which should be typed after a long time of phone inactivity).",0
814_13,"I can use all phone features except calling, but getting access to other data is terrifying too.",0
822_2,Problems I have encountered: 1) While using PositionChanged event Geolocator.ReportInterval seems to be ignored.,0
831_3,Currently the sorting is: Albums = Title Acsending Pictures & Albums = CreationTimestamp Acesending It would be good if there was more sorting (either via the photo hub or via code) which allows all items to be sorted title\creation timestamp\last updated timestamp ascending\descending.,0
834_1,"Hi, forcing all WP8 apps upgraded to WP81 to behave differently on resume is causing me massive headaches.",0
835_3,"Anyway, Im sure that Im not the only one who has this issue so if we could look at some email invoices it would be great.",0
835_7,"For security reasons, I'd really like to see an option that if the high quality backup via wifi is enabled and if the phone is not currently connected to wifi, then the phone automatically creates resized (smaller) photo and uploads it via data to the cloud and then delete's the resized photo from the phone.",1
837_4,I would like to be able to pull in Bing news search results for a specified keyword,1
840_1,It would be nice to be able to load XAML from string without freezing UI - it could easily take over 200ms to load a short bit of XAML.,1
853_1,It would be cool to allow the ApplicationBar to have more icons available.,1
853_3,"It would be also cool to allow for more than one application bar per page, so you could specify one at the top, left, bottom or right.",1
857_5,"These properties will allow developers to introduce many useful features such as Auto playlists, and it'll also help xbox team to bring back ""Recently Added"" feature.",0
858_10,"At present I have to manually record when I change the price, as there appears to be no way to track this in the dev portal, which seems strange given all the other info that is provided in the exported Excel file.",0
870_8,Manage my total apps purchase by deleting the unwanted apps from the total list similar like google store... And also give the ability to filter my payment purchased apps,0
879_2,"Our own project aside, it seems somewhat draconian to disallow any third-party apps from competing with the built-in apps.",0
880_1,I want to implement certificate pinning for additional security in my app and therefore I need an API to read the values of individual x.509 certificates.,1
881_4,So what I suggest is give flexible background service for development and notify user while installing the app about the background services that will be running and battery consumption it might cause.And then user can decide to install the app or not.,1
884_12,"Not being able to compile shaders at runtime is a huge inconvenience, and prevents projects like ANGLE from producing a fully compliant OpenGL port.",0
886_1,"Silverlight doesn't work properly in IE 11, so I cannot upload xap files using IE 11.",0
886_2,I have to switch to google Chrome to publish Windows Phone Apps.,0
891_1,Basically implement the IInternetProtocol family of COM interfaces on Windows Phone 8 and allow us to add our own protocol handlers (in the Registry) - it is possible on Windows 8.,1
896_1,"All other steps are working really smooth but the ""pending certification"" is taking up to 5 days without showing any progress.",0
896_8,These capabilities are well supported by other platforms and I would like to see this support on WP8 too.,0
897_1,remove the lock screen and make it a notifications screen where you can see everything that happened until interacted with on the phone by simply pressing the lock button on this screen and the logo of the application of the Communication provides a small preview of a soft black and white and also allow us to access it only touched his notice.,1
898_3,"For a phone, hear and function called main, so I need the driver API and identify the data ""call"", ""Recording"", ... For example: Get the phone number to call to display information based on the number of phone customers, prepare for new sales transactions over the phone.",1
907_4,"From an old suggestion which got declined: - Phone off (locked) - Reminder comes up (reminder is setup to open the owner app when tapped) - User taps over reminder, then unlocks: target app is not launched Expected: Tapping over the reminder and then unlocking should take the user to the target app, just as it works when the phone is unlocked and a reminder pops up.",0
908_1,"Furthermore, without any scientific proofs, I assume most reminders will arrive when the screen is locked, so why have a feature that can only work for a fraction of the time?",0
910_3,I can only play them from the e-mail directly but it's not possible to save them to your phone memory.,0
1210_2,"Now, that obviously has the result of bad apps being near the top a lot, so you modify that with ratings.",0
1219_1,"Also, having a ShowContactTask would allow me to give my user a quick shortcut to post a message on Twitter or Facebook without having to implement those SDKs (especially___ more",0
1222_3,"I later found that the original submission had also been successful, even though it had hung, so that there were now two duplicate submissions in ""Processing Certification"" with slightly different aliases.",0
1228_5,Today's world where Java is every where I don't know why WP does not support java based applications and why Microsoft haven't provided any way to develop WP applications in Java.,0
1243_1,"Currently, Microsoft.Phone.Info.DeviceStatus is available to know the device manufacturer and it is only accesible from C# project making it a round way about to include this project in C++ ( managed code).",0
1250_1,There is an indirect way of using BrowserHttp but it's kinda buggy.,0
1252_5,"Certain WP8 phones have wireless or inductive charging, and we need to be able to calculate the efficiency of these chargers.",0
1253_1,"For example, allowing the user to view the time it would take to reach full charge on USB vs induction.",1
1261_1,"I think that there should be a nice feature were you can be able to slide the status bar down and view all the push notifications that you got but you didn't view, just like android and IOS, but the best part is that it fixes many problems like when people wanted a short cut to turn WiFi on and off and data on and off so that would be a nice feature to have 2.",1
1263_1,"Better music player, I like the Zune on interface or Xbox music interface but I would like it so you can do more customization with it and have it so we can move a scroller on the bar that tells you how many minutes have you been playing the song, so that we can skip through the music to our favorite part 6.",1
